Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload per Shift
16,Electrical Wiring,Low,1,Module Assembly,Flexible,3.5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
17,Mechanical Assembly,Medium,2,Final Testing,Flexible,3.7,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
18,Packaging,Low,8,Final Testing,Morning,3.2,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
19,Soldering,Medium,4,Cell Assembly,Flexible,4.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
20,Packaging,High,1,Final Testing,Morning,3.9,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
21,Quality Inspection,High,4,Pack Assembly,Night,3.8,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
22,Robotics,Medium,3,Cell Assembly,Night,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
23,BMS Integration,Medium,6,Module Assembly,Evening,4.1,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
24,Automation,Medium,6,Final Testing,Night,3.6,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
25,Quality Inspection,Medium,8,Final Testing,Flexible,3.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
26,Welding,High,3,Final Testing,Evening,3.4,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
27,Soldering,Low,5,Cell Assembly,Night,4,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
28,Robotics,High,8,Cell Assembly,Morning,3.7,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
29,Automation,High,5,Pack Assembly,Night,3.5,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
30,Mechanical Assembly,Low,6,Module Assembly,Morning,4.6,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
31,BMS Integration,High,1,Cell Assembly,Morning,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
32,Electrical Wiring,Low,4,Module Assembly,Evening,3,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
33,BMS Integration,Medium,5,Pack Assembly,Evening,4.3,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
34,Welding,High,2,Final Testing,Night,3.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
35,BMS Integration,High,1,Pack Assembly,Evening,4.7,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
36,Electrical Wiring,Low,3,Final Testing,Evening,4.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
37,Electrical Wiring,Medium,6,Pack Assembly,Night,4.5,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
38,Electrical Wiring,Medium,7,Pack Assembly,Evening,4.1,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
39,Soldering,Low,3,Module Assembly,Night,3.7,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
40,Robotics,Low,4,Module Assembly,Morning,4.6,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
41,Soldering,Low,8,Module Assembly,Night,4.5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
42,Electrical Wiring,High,7,Final Testing,Evening,3.8,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
43,Automation,Low,4,Module Assembly,Morning,4.3,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
44,Automation,Low,1,Pack Assembly,Evening,3.1,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
45,Electrical Wiring,High,3,Pack Assembly,Morning,3.4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
46,Packaging,High,5,Final Testing,Morning,3.2,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
47,Soldering,Medium,1,Pack Assembly,Evening,4.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
48,BMS Integration,Low,2,Cell Assembly,Night,3.1,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
49,Soldering,Low,3,Pack Assembly,Evening,4.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
50,Mechanical Assembly,Low,7,Pack Assembly,Night,3.4,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
51,Automation,Low,7,Pack Assembly,Night,4.6,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
52,Soldering,High,1,Pack Assembly,Evening,3.6,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
53,Robotics,High,5,Cell Assembly,Morning,3.7,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
54,Electrical Wiring,Medium,2,Final Testing,Morning,3.7,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
55,BMS Integration,High,3,Pack Assembly,Night,3.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
56,Robotics,Low,2,Module Assembly,Flexible,4.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
57,Electrical Wiring,Low,8,Final Testing,Evening,4.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
58,Mechanical Assembly,Low,3,Cell Assembly,Evening,3.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
59,BMS Integration,High,6,Final Testing,Morning,4.9,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
60,BMS Integration,Low,2,Pack Assembly,Morning,3.4,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
61,Packaging,Low,6,Pack Assembly,Night,3.8,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
62,Quality Inspection,High,5,Cell Assembly,Morning,4.9,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
63,Electrical Wiring,High,6,Module Assembly,Night,3.8,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
64,Welding,Low,2,Module Assembly,Morning,3.8,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
65,Welding,Medium,3,Pack Assembly,Flexible,3.6,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
66,BMS Integration,High,8,Final Testing,Night,3.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
67,Robotics,Low,8,Final Testing,Night,3.9,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
68,Electrical Wiring,Medium,5,Module Assembly,Night,3.6,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
69,Mechanical Assembly,Medium,6,Final Testing,Night,3.2,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
70,Mechanical Assembly,Low,3,Module Assembly,Night,3.4,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
71,Packaging,Medium,6,Module Assembly,Flexible,5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
72,Soldering,Low,7,Cell Assembly,Morning,4.6,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
73,Soldering,Low,3,Module Assembly,Evening,4.7,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
74,Robotics,High,4,Final Testing,Night,4,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
75,Quality Inspection,Medium,3,Module Assembly,Night,4.9,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
76,Welding,Low,4,Pack Assembly,Morning,3.6,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
77,BMS Integration,Low,7,Module Assembly,Night,4.6,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
78,Robotics,Medium,8,Module Assembly,Evening,4.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
79,Robotics,Medium,1,Cell Assembly,Evening,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
80,BMS Integration,Low,5,Final Testing,Morning,4.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
81,Electrical Wiring,High,1,Cell Assembly,Evening,3.2,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
82,Robotics,High,5,Module Assembly,Morning,4.7,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
83,Electrical Wiring,Low,3,Final Testing,Night,4.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
84,Electrical Wiring,Low,4,Pack Assembly,Morning,3.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
85,Automation,Medium,3,Final Testing,Morning,3.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
86,Mechanical Assembly,High,1,Pack Assembly,Evening,4.2,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
87,Soldering,High,7,Pack Assembly,Night,4.1,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
88,Soldering,High,2,Cell Assembly,Evening,4.1,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
89,Quality Inspection,High,1,Pack Assembly,Flexible,4.2,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
90,Mechanical Assembly,High,7,Final Testing,Night,5,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
91,Soldering,Low,1,Module Assembly,Night,4,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
92,Soldering,High,6,Pack Assembly,Evening,4.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
93,Soldering,Low,5,Pack Assembly,Flexible,4.7,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
94,Quality Inspection,Low,7,Module Assembly,Morning,4.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
95,Quality Inspection,Medium,1,Pack Assembly,Evening,4.3,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
96,Soldering,High,8,Module Assembly,Evening,3.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
97,Automation,Low,5,Final Testing,Night,4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
98,Quality Inspection,Medium,8,Module Assembly,Flexible,3.7,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
99,Automation,Medium,7,Module Assembly,Evening,4.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
100,Soldering,High,8,Pack Assembly,Night,3.6,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
101,Electrical Wiring,Low,5,Final Testing,Evening,3.3,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
102,BMS Integration,Low,3,Module Assembly,Morning,3.2,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
103,Mechanical Assembly,Low,3,Pack Assembly,Night,4.6,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
104,BMS Integration,High,4,Module Assembly,Evening,4.5,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
105,Packaging,High,6,Pack Assembly,Morning,3.5,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
106,Electrical Wiring,High,8,Pack Assembly,Morning,3.1,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
107,Mechanical Assembly,Medium,1,Final Testing,Morning,4.1,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
108,Packaging,Low,6,Final Testing,Morning,3.1,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
109,Electrical Wiring,Low,3,Pack Assembly,Night,3.9,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
110,Quality Inspection,Low,6,Module Assembly,Flexible,4.3,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
111,Mechanical Assembly,Low,8,Cell Assembly,Night,3.6,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
112,Mechanical Assembly,Medium,2,Pack Assembly,Morning,3.1,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
113,Robotics,Medium,6,Module Assembly,Night,4.3,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
114,Mechanical Assembly,Medium,6,Module Assembly,Evening,4.4,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
115,Automation,Medium,8,Cell Assembly,Evening,3.9,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
116,Mechanical Assembly,Low,6,Cell Assembly,Evening,4.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
117,Welding,Low,7,Final Testing,Morning,5,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
118,Electrical Wiring,High,4,Final Testing,Night,4.8,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
119,Electrical Wiring,High,6,Pack Assembly,Morning,3.3,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
120,Electrical Wiring,Medium,1,Pack Assembly,Flexible,4.8,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
121,Mechanical Assembly,Medium,7,Module Assembly,Evening,5,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
122,Mechanical Assembly,Medium,8,Cell Assembly,Morning,3.1,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
123,Mechanical Assembly,High,2,Pack Assembly,Evening,3.9,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
124,Robotics,Medium,8,Final Testing,Evening,4.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
125,Electrical Wiring,Low,1,Pack Assembly,Evening,4,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
126,Welding,High,6,Cell Assembly,Flexible,3.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
127,Automation,High,6,Cell Assembly,Evening,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
128,Welding,Medium,1,Pack Assembly,Evening,3.8,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
129,Welding,High,7,Final Testing,Morning,4.1,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
130,Welding,Medium,7,Module Assembly,Morning,3.7,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
131,Packaging,High,5,Module Assembly,Morning,3.5,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
132,BMS Integration,Low,7,Final Testing,Evening,3.9,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
133,BMS Integration,Low,1,Cell Assembly,Morning,4.8,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
134,Electrical Wiring,Medium,3,Pack Assembly,Morning,3.8,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
135,Welding,Low,6,Final Testing,Morning,3.7,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
136,Mechanical Assembly,Medium,5,Module Assembly,Flexible,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
137,Packaging,Medium,5,Final Testing,Night,4.6,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
138,Quality Inspection,Medium,5,Module Assembly,Evening,3.4,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
139,Automation,High,1,Pack Assembly,Evening,4.6,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
140,Soldering,Low,7,Final Testing,Night,5,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
141,Electrical Wiring,Medium,1,Pack Assembly,Morning,3.9,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
142,Quality Inspection,Low,1,Module Assembly,Flexible,5,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
143,Automation,Low,3,Cell Assembly,Night,3.7,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
144,Electrical Wiring,High,7,Module Assembly,Night,3.7,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
145,Electrical Wiring,High,3,Pack Assembly,Night,3.3,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
146,Welding,High,5,Cell Assembly,Flexible,4.5,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
147,Electrical Wiring,Medium,4,Final Testing,Night,3.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
148,Soldering,Medium,7,Cell Assembly,Flexible,4.2,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
149,Packaging,High,1,Pack Assembly,Flexible,3.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
150,Automation,High,3,Pack Assembly,Flexible,3.5,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
151,Soldering,Low,5,Cell Assembly,Flexible,3.1,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
152,Quality Inspection,High,8,Module Assembly,Evening,4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
153,Electrical Wiring,Low,8,Cell Assembly,Night,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
154,Mechanical Assembly,High,1,Cell Assembly,Night,3.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
155,Soldering,High,3,Cell Assembly,Night,4.2,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
156,Mechanical Assembly,Low,1,Final Testing,Evening,4.1,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
157,Soldering,Medium,4,Module Assembly,Evening,4.4,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
158,Quality Inspection,Medium,8,Final Testing,Flexible,3.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
159,Robotics,Medium,2,Pack Assembly,Evening,4.6,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
160,Automation,Low,8,Module Assembly,Night,4.6,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
161,Automation,High,6,Cell Assembly,Flexible,4.5,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
162,Soldering,Medium,8,Final Testing,Evening,3.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
163,Quality Inspection,Medium,5,Final Testing,Flexible,4.8,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
164,Welding,Low,5,Pack Assembly,Flexible,3.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
165,Welding,Low,8,Pack Assembly,Morning,3.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
166,Packaging,Low,7,Final Testing,Evening,3.8,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
167,Packaging,Medium,2,Final Testing,Morning,3.5,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
168,Packaging,Low,1,Final Testing,Morning,3.5,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
169,Quality Inspection,High,3,Pack Assembly,Evening,3,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
170,Electrical Wiring,Medium,4,Pack Assembly,Morning,4.9,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
171,Packaging,High,3,Cell Assembly,Night,3.6,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
172,Welding,Medium,4,Final Testing,Evening,4.2,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
173,Electrical Wiring,Medium,3,Final Testing,Flexible,4.9,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
174,Soldering,High,4,Final Testing,Morning,3.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
175,Electrical Wiring,Medium,7,Pack Assembly,Night,3.7,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
176,Mechanical Assembly,Medium,7,Pack Assembly,Flexible,4.4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
177,Electrical Wiring,Low,3,Final Testing,Morning,3.8,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
178,Quality Inspection,Low,8,Final Testing,Morning,4.7,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
179,Mechanical Assembly,Medium,2,Final Testing,Flexible,3.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
180,BMS Integration,Medium,8,Pack Assembly,Night,3.1,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
181,Robotics,Medium,3,Module Assembly,Flexible,4.2,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
182,BMS Integration,High,7,Final Testing,Evening,4.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Critical,12
183,Quality Inspection,Medium,2,Pack Assembly,Flexible,3.1,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
184,BMS Integration,High,1,Final Testing,Morning,3.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
185,Welding,Medium,1,Final Testing,Night,4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
186,Mechanical Assembly,Medium,4,Module Assembly,Night,4.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
187,Mechanical Assembly,Low,6,Cell Assembly,Evening,4.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
188,Robotics,High,1,Cell Assembly,Flexible,4.8,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
189,BMS Integration,High,2,Pack Assembly,Flexible,3.4,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
190,Robotics,Medium,2,Final Testing,Morning,3.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
191,Mechanical Assembly,Medium,6,Cell Assembly,Morning,3,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
192,BMS Integration,High,6,Final Testing,Flexible,4.9,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
193,Mechanical Assembly,Low,6,Cell Assembly,Morning,3.5,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
