Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications
232,Packaging,Medium,6,Module Assembly,Morning,3.2,Mechanical Technician
233,Quality Inspection,Low,3,Final Testing,Night,4.7,None
234,Quality Inspection,Low,6,Final Testing,Flexible,4.7,Certified BMS Engineer
235,Welding,Medium,1,Cell Assembly,Evening,3.3,Certified Welder
236,Mechanical Assembly,Low,8,Cell Assembly,Evening,3.5,Certified BMS Engineer
237,Automation,Low,8,Final Testing,Night,4.2,Mechanical Technician
238,Mechanical Assembly,Medium,5,Final Testing,Night,3.7,Certified BMS Engineer
239,Quality Inspection,Low,3,Pack Assembly,Flexible,3.2,Certified BMS Engineer
240,Quality Inspection,Low,8,Pack Assembly,Evening,4.6,Electrical Engineer
241,Automation,High,3,Cell Assembly,Night,4.4,Certified Welder
242,Soldering,Low,3,Final Testing,Flexible,4.3,None
243,Automation,Medium,3,Cell Assembly,Evening,3.9,Certified Welder
244,Mechanical Assembly,Medium,2,Final Testing,Evening,4,Certified Welder
245,Automation,High,5,Final Testing,Evening,3.2,Certified BMS Engineer
246,Automation,Medium,5,Cell Assembly,Evening,3.2,Quality Control Certified
247,Soldering,Low,6,Final Testing,Flexible,3.8,Certified BMS Engineer
248,BMS Integration,Low,5,Final Testing,Flexible,4.8,Certified Welder
249,BMS Integration,High,6,Final Testing,Morning,4.2,Mechanical Technician
250,Mechanical Assembly,Low,5,Final Testing,Flexible,3.7,None
251,Soldering,Medium,8,Cell Assembly,Evening,4.6,Certified Welder
252,Packaging,Low,2,Final Testing,Morning,4.6,None
253,Automation,High,6,Cell Assembly,Flexible,4.5,Mechanical Technician
254,Electrical Wiring,Medium,5,Cell Assembly,Evening,4.3,None
255,Soldering,Low,2,Final Testing,Evening,3,Certified BMS Engineer
256,Mechanical Assembly,High,4,Pack Assembly,Night,3.6,Certified Welder
257,Automation,Medium,1,Cell Assembly,Evening,4.5,Quality Control Certified
258,Mechanical Assembly,Medium,5,Pack Assembly,Evening,3.1,Certified BMS Engineer
259,Mechanical Assembly,Medium,1,Pack Assembly,Flexible,3.1,None
260,Quality Inspection,Low,1,Module Assembly,Flexible,3.8,Mechanical Technician
261,Quality Inspection,Low,6,Module Assembly,Morning,4.7,Electrical Engineer
262,Soldering,High,3,Final Testing,Morning,3.9,Certified Welder
263,Welding,High,8,Final Testing,Night,4.3,Certified BMS Engineer
264,Mechanical Assembly,Medium,3,Final Testing,Morning,4,None
265,Welding,Low,3,Cell Assembly,Flexible,3.6,Electrical Engineer
266,Automation,Medium,3,Cell Assembly,Evening,3.6,Mechanical Technician
267,Electrical Wiring,High,6,Pack Assembly,Flexible,3,Mechanical Technician
268,Soldering,Low,1,Final Testing,Flexible,4.8,Certified BMS Engineer
269,BMS Integration,Low,6,Module Assembly,Morning,3.9,Mechanical Technician
270,BMS Integration,Medium,5,Final Testing,Evening,3.3,Mechanical Technician
271,Welding,Medium,5,Cell Assembly,Flexible,5,Certified Welder
272,Automation,Low,3,Final Testing,Evening,4.3,Electrical Engineer
273,Quality Inspection,Medium,6,Pack Assembly,Morning,3.3,Mechanical Technician
274,Quality Inspection,High,6,Pack Assembly,Flexible,3.3,Certified Welder
275,Packaging,High,7,Cell Assembly,Morning,3.2,Certified BMS Engineer
276,Soldering,Low,7,Cell Assembly,Flexible,4.4,Certified BMS Engineer
277,BMS Integration,Medium,8,Module Assembly,Night,3.3,Certified BMS Engineer
278,Quality Inspection,Low,3,Pack Assembly,Morning,4.3,Quality Control Certified
279,Robotics,Medium,3,Final Testing,Flexible,4.7,Certified BMS Engineer
280,Packaging,Low,3,Cell Assembly,Morning,3.5,Certified BMS Engineer
281,Welding,Medium,4,Cell Assembly,Night,3.6,Quality Control Certified
282,Automation,Low,2,Cell Assembly,Flexible,3.8,Electrical Engineer
283,Packaging,Medium,7,Final Testing,Evening,3.1,Mechanical Technician
284,Packaging,Medium,6,Module Assembly,Night,4.1,None
285,Packaging,High,4,Cell Assembly,Morning,4.3,Mechanical Technician
286,Automation,Medium,8,Module Assembly,Flexible,3.5,Electrical Engineer
287,Soldering,Low,7,Final Testing,Flexible,3.5,Electrical Engineer
288,Quality Inspection,High,7,Pack Assembly,Morning,3.2,None
289,BMS Integration,Medium,2,Pack Assembly,Flexible,4.3,Certified BMS Engineer
290,BMS Integration,Low,8,Pack Assembly,Flexible,3.9,Mechanical Technician
291,Automation,Low,7,Pack Assembly,Night,3.4,Certified BMS Engineer
292,Robotics,High,2,Pack Assembly,Morning,4.9,Certified Welder
293,Quality Inspection,Medium,8,Module Assembly,Flexible,3.3,Quality Control Certified
294,Soldering,Medium,3,Final Testing,Morning,4.3,Mechanical Technician
295,Robotics,High,7,Pack Assembly,Night,4.3,None
296,BMS Integration,Medium,2,Cell Assembly,Flexible,4.8,None
297,Soldering,High,4,Cell Assembly,Night,4,Quality Control Certified
298,Robotics,Low,1,Pack Assembly,Morning,4.9,Certified Welder
299,Mechanical Assembly,High,8,Final Testing,Night,4.1,Mechanical Technician
300,Electrical Wiring,Low,2,Module Assembly,Night,3.3,Certified Welder
301,Automation,Low,4,Final Testing,Night,3.6,Certified Welder
302,Packaging,High,8,Cell Assembly,Morning,3.3,Mechanical Technician
303,Automation,Low,2,Module Assembly,Evening,4.2,Certified BMS Engineer
304,Automation,Low,1,Pack Assembly,Flexible,4.4,Quality Control Certified
305,Soldering,Medium,8,Final Testing,Morning,4.7,Quality Control Certified
306,Electrical Wiring,High,3,Cell Assembly,Morning,5,Certified BMS Engineer
307,Packaging,Low,6,Module Assembly,Evening,3.8,Quality Control Certified
308,Automation,Medium,3,Pack Assembly,Evening,3.3,None
309,BMS Integration,Medium,2,Module Assembly,Flexible,4.7,Electrical Engineer
310,Packaging,High,2,Module Assembly,Night,4.4,Electrical Engineer
311,BMS Integration,Medium,8,Cell Assembly,Flexible,4.8,Mechanical Technician
312,Packaging,Low,2,Final Testing,Evening,3.6,Quality Control Certified
313,Welding,Low,2,Final Testing,Night,3.9,Electrical Engineer
314,Packaging,High,7,Cell Assembly,Flexible,3.6,Mechanical Technician
315,Mechanical Assembly,Low,7,Final Testing,Evening,3.1,Quality Control Certified
316,Electrical Wiring,Medium,3,Cell Assembly,Flexible,4.7,Quality Control Certified
317,Robotics,Medium,3,Cell Assembly,Morning,4.9,Certified BMS Engineer
318,Electrical Wiring,Low,5,Final Testing,Evening,4.6,Certified BMS Engineer
319,Welding,Low,5,Final Testing,Evening,4.5,Quality Control Certified
320,BMS Integration,High,2,Module Assembly,Flexible,4.6,None
321,Robotics,Low,8,Final Testing,Evening,5,Certified Welder
322,BMS Integration,Medium,7,Cell Assembly,Night,4,None
323,Robotics,High,3,Module Assembly,Flexible,3.8,Certified BMS Engineer
324,Automation,High,4,Final Testing,Flexible,3.6,Certified Welder
325,Mechanical Assembly,Low,1,Module Assembly,Flexible,4.6,Certified BMS Engineer
326,Mechanical Assembly,Medium,4,Pack Assembly,Flexible,4,Quality Control Certified
327,Soldering,Low,3,Pack Assembly,Night,3.3,Certified BMS Engineer
328,Welding,Low,7,Pack Assembly,Morning,3.1,Certified Welder
329,Robotics,High,7,Module Assembly,Night,4.9,Mechanical Technician
330,Packaging,Medium,2,Pack Assembly,Flexible,3,Certified BMS Engineer
331,Automation,Low,5,Cell Assembly,Evening,4.2,Certified BMS Engineer
332,Automation,Medium,6,Cell Assembly,Evening,4.1,Quality Control Certified
333,Mechanical Assembly,Medium,1,Module Assembly,Evening,3.2,Electrical Engineer
334,BMS Integration,Medium,7,Cell Assembly,Night,4.9,Certified BMS Engineer
335,Mechanical Assembly,Low,6,Cell Assembly,Evening,3.1,Certified BMS Engineer
336,BMS Integration,Medium,7,Pack Assembly,Morning,4.1,Certified BMS Engineer
337,Packaging,Medium,1,Final Testing,Evening,3.3,Mechanical Technician
338,Quality Inspection,Medium,7,Final Testing,Evening,4.7,None
339,Welding,Low,2,Pack Assembly,Flexible,3.5,None
340,Automation,Medium,7,Module Assembly,Morning,3.2,Certified BMS Engineer
341,BMS Integration,Low,5,Final Testing,Morning,5,Certified Welder
342,Welding,Low,8,Cell Assembly,Flexible,4.4,Certified Welder
343,Robotics,Medium,3,Pack Assembly,Evening,3.6,Certified BMS Engineer
344,Robotics,Low,4,Final Testing,Morning,3.3,Quality Control Certified
345,Welding,Low,1,Final Testing,Flexible,4.5,Electrical Engineer
346,Robotics,Low,1,Cell Assembly,Evening,4.2,None
347,Robotics,Medium,2,Final Testing,Night,3.8,Quality Control Certified
348,Electrical Wiring,High,3,Final Testing,Night,4.1,Quality Control Certified
349,Mechanical Assembly,High,7,Pack Assembly,Morning,4.5,Mechanical Technician
350,Electrical Wiring,High,8,Cell Assembly,Evening,4.5,Certified BMS Engineer
351,Packaging,High,3,Cell Assembly,Evening,3.8,Quality Control Certified
352,Quality Inspection,High,2,Pack Assembly,Morning,4.8,Mechanical Technician
353,Soldering,Low,2,Pack Assembly,Evening,3.4,Certified BMS Engineer
354,BMS Integration,High,4,Final Testing,Night,4.4,Quality Control Certified
355,BMS Integration,Low,2,Cell Assembly,Flexible,3.7,Quality Control Certified
356,BMS Integration,High,5,Cell Assembly,Night,3.6,None
357,Packaging,Low,5,Pack Assembly,Evening,4.4,Electrical Engineer
358,Soldering,Low,3,Cell Assembly,Morning,4.8,Certified BMS Engineer
359,Soldering,High,1,Cell Assembly,Night,3.2,Quality Control Certified
360,Robotics,Medium,3,Pack Assembly,Evening,3.7,Mechanical Technician
361,Soldering,Low,5,Final Testing,Flexible,3.5,Certified BMS Engineer
362,BMS Integration,Medium,7,Final Testing,Night,4.8,Certified BMS Engineer
363,Packaging,Medium,6,Pack Assembly,Morning,3,None
364,Welding,High,6,Cell Assembly,Morning,4.6,None
365,Mechanical Assembly,High,8,Module Assembly,Night,3.2,Certified BMS Engineer
366,Quality Inspection,Medium,4,Final Testing,Night,3.3,Quality Control Certified
367,Electrical Wiring,High,8,Pack Assembly,Flexible,3.2,None
368,Packaging,High,2,Final Testing,Morning,4.7,Mechanical Technician
369,Welding,Medium,2,Module Assembly,Morning,4.2,Mechanical Technician
370,Quality Inspection,Low,6,Module Assembly,Night,3.9,Certified BMS Engineer
371,Automation,High,7,Pack Assembly,Night,4,Certified BMS Engineer
372,Robotics,Low,3,Cell Assembly,Morning,3.6,Quality Control Certified
373,BMS Integration,Low,4,Pack Assembly,Evening,3,Quality Control Certified
374,Automation,Medium,6,Module Assembly,Night,3.9,Certified BMS Engineer
375,Welding,Medium,7,Cell Assembly,Evening,3.2,Quality Control Certified
376,BMS Integration,Medium,3,Pack Assembly,Flexible,3.8,Quality Control Certified
377,Robotics,Medium,6,Module Assembly,Evening,4.3,Quality Control Certified
378,Electrical Wiring,High,6,Pack Assembly,Night,3.4,Quality Control Certified
379,Welding,Low,8,Pack Assembly,Morning,4.6,Electrical Engineer
380,Welding,Medium,1,Cell Assembly,Morning,4,Quality Control Certified
